#time-ms	bytes	window	drop?	version
170958	1059041	1	true	IPv6
163070	1059041	1	true	IPv6
160388	1059041	1	true	IPv6
159564	1059041	1	true	IPv6
160283	1059041	1	true	IPv6
167154	1059041	1	true	IPv6
170862	1059041	1	true	IPv6
171721	1059041	1	true	IPv6
166252	1059041	1	true	IPv6
168646	1059041	1	true	IPv6
63280	1059041	2	true	IPv6
68542	1059041	2	true	IPv6
64899	1059041	2	true	IPv6
68174	1059041	2	true	IPv6
66866	1059041	2	true	IPv6
70310	1059041	2	true	IPv6
72519	1059041	2	true	IPv6
60851	1059041	2	true	IPv6
64108	1059041	2	true	IPv6
67515	1059041	2	true	IPv6
30777	1059041	4	true	IPv6
32233	1059041	4	true	IPv6
31936	1059041	4	true	IPv6
31913	1059041	4	true	IPv6
33283	1059041	4	true	IPv6
32553	1059041	4	true	IPv6
31841	1059041	4	true	IPv6
31935	1059041	4	true	IPv6
33899	1059041	4	true	IPv6
29633	1059041	4	true	IPv6
17148	1059041	8	true	IPv6
16599	1059041	8	true	IPv6
17298	1059041	8	true	IPv6
16545	1059041	8	true	IPv6
17131	1059041	8	true	IPv6
17038	1059041	8	true	IPv6
17270	1059041	8	true	IPv6
16716	1059041	8	true	IPv6
17416	1059041	8	true	IPv6
17525	1059041	8	true	IPv6
10595	1059041	16	true	IPv6
10506	1059041	16	true	IPv6
10834	1059041	16	true	IPv6
11168	1059041	16	true	IPv6
10632	1059041	16	true	IPv6
10547	1059041	16	true	IPv6
11095	1059041	16	true	IPv6
10318	1059041	16	true	IPv6
10343	1059041	16	true	IPv6
10276	1059041	16	true	IPv6
7205	1059041	32	true	IPv6
7097	1059041	32	true	IPv6
6977	1059041	32	true	IPv6
7018	1059041	32	true	IPv6
8723	1059041	32	true	IPv6
6922	1059041	32	true	IPv6
6955	1059041	32	true	IPv6
7179	1059041	32	true	IPv6
7262	1059041	32	true	IPv6
5973	1059041	32	true	IPv6
7234	1059041	64	true	IPv6
6617	1059041	64	true	IPv6
6835	1059041	64	true	IPv6
6619	1059041	64	true	IPv6
6959	1059041	64	true	IPv6
7013	1059041	64	true	IPv6
6968	1059041	64	true	IPv6
6620	1059041	64	true	IPv6
6903	1059041	64	true	IPv6
6918	1059041	64	true	IPv6
9151	1059041	128	true	IPv6
8904	1059041	128	true	IPv6
9103	1059041	128	true	IPv6
9245	1059041	128	true	IPv6
9343	1059041	128	true	IPv6
9185	1059041	128	true	IPv6
9415	1059041	128	true	IPv6
8728	1059041	128	true	IPv6
9124	1059041	128	true	IPv6
8928	1059041	128	true	IPv6
