#time-ms	bytes	window	drop?	version
554651	1059041	1	true	IPv4
297376	1059041	1	true	IPv4
361922	1059041	1	true	IPv4
385832	1059041	1	true	IPv4
402625	1059041	1	true	IPv4
343348	1059041	1	true	IPv4
280029	1059041	1	true	IPv4
403046	1059041	1	true	IPv4
390621	1059041	1	true	IPv4
270259	1059041	1	true	IPv4
31645	1059041	2	true	IPv4
39147	1059041	2	true	IPv4
35507	1059041	2	true	IPv4
38068	1059041	2	true	IPv4
36879	1059041	2	true	IPv4
67575	1059041	2	true	IPv4
33563	1059041	2	true	IPv4
33212	1059041	2	true	IPv4
32035	1059041	2	true	IPv4
33390	1059041	2	true	IPv4
25088	1059041	4	true	IPv4
18836	1059041	4	true	IPv4
21466	1059041	4	true	IPv4
174753	1059041	4	true	IPv4
17377	1059041	4	true	IPv4
18457	1059041	4	true	IPv4
17517	1059041	4	true	IPv4
18886	1059041	4	true	IPv4
20851	1059041	4	true	IPv4
18465	1059041	4	true	IPv4
10291	1059041	8	true	IPv4
10395	1059041	8	true	IPv4
10539	1059041	8	true	IPv4
10388	1059041	8	true	IPv4
10209	1059041	8	true	IPv4
10239	1059041	8	true	IPv4
10354	1059041	8	true	IPv4
10750	1059041	8	true	IPv4
10240	1059041	8	true	IPv4
59299	1059041	8	true	IPv4
50416	1059041	16	true	IPv4
6738	1059041	16	true	IPv4
6689	1059041	16	true	IPv4
6690	1059041	16	true	IPv4
7127	1059041	16	true	IPv4
6863	1059041	16	true	IPv4
6955	1059041	16	true	IPv4
6689	1059041	16	true	IPv4
6807	1059041	16	true	IPv4
6760	1059041	16	true	IPv4
6283	1059041	32	true	IPv4
6056	1059041	32	true	IPv4
6082	1059041	32	true	IPv4
6052	1059041	32	true	IPv4
5985	1059041	32	true	IPv4
6433	1059041	32	true	IPv4
6716	1059041	32	true	IPv4
6191	1059041	32	true	IPv4
6353	1059041	32	true	IPv4
6154	1059041	32	true	IPv4
5664	1059041	64	true	IPv4
5699	1059041	64	true	IPv4
5973	1059041	64	true	IPv4
6194	1059041	64	true	IPv4
7041	1059041	64	true	IPv4
6207	1059041	64	true	IPv4
6131	1059041	64	true	IPv4
5659	1059041	64	true	IPv4
5598	1059041	64	true	IPv4
5797	1059041	64	true	IPv4
7747	1059041	128	true	IPv4
7712	1059041	128	true	IPv4
7161	1059041	128	true	IPv4
6466	1059041	128	true	IPv4
6127	1059041	128	true	IPv4
8003	1059041	128	true	IPv4
6978	1059041	128	true	IPv4
7409	1059041	128	true	IPv4
7356	1059041	128	true	IPv4
5979	1059041	128	true	IPv4
